Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
custom-die-cut-stickers-1x1-5x20,Custom Die-Cut Stickers,,StickerShuttle,,config,custom-config,true,Size,1x1,,,,,SKU123,0.0,,0,deny,manual,1.50,,true,true,,https://cdn.shopify.com/s/files/1/0585/0546/1898/products/DieCut.png?v=1650732284,1,custom die-cut stickers,false,,,,,,,,,,,,,,,,,lb,,0.10,active
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x2,,,,,SKU123,0.0,,0,deny,manual,1.60,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x3,,,,,SKU123,0.0,,0,deny,manual,1.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x4,,,,,SKU123,0.0,,0,deny,manual,1.70,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x5,,,,,SKU123,0.0,,0,deny,manual,1.80,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x6,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x7,,,,,SKU123,0.0,,0,deny,manual,1.90,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x8,,,,,SKU123,0.0,,0,deny,manual,2.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x9,,,,,SKU123,0.0,,0,deny,manual,2.00,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
custom-die-cut-stickers-1x1-5x20,,,StickerShuttle,,,,,,1x10,,,,,SKU123,0.0,,0,deny,manual,2.10,,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,0.10,
